Optimization Algorithm: Original NSGA-III
Population Size: 100, Maximum Generations: 200
Crossover Probability: 0.9, Mutation Probability: 0.1, ALO Probability: 0.3
Using OBL Initialization: Yes

=== Optimization Log ===
Generation 18: {'gen': 18, 'evals': 200, 'avg': array([-6.39454502e+07, -6.44353766e+07,  7.40000000e+17]), 'std': array([1.08123836e+08, 1.08997242e+08, 4.38634244e+17]), 'min': array([-2.64516688e+08, -2.72194230e+08,  8.23196342e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 19: {'gen': 19, 'evals': 200, 'avg': array([-5.19553514e+07, -5.29994814e+07,  7.90000000e+17]), 'std': array([1.01137860e+08, 1.02891441e+08, 4.07308237e+17]), 'min': array([-2.70374344e+08, -2.67513096e+08,  8.30694164e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 20: {'gen': 20, 'evals': 200, 'avg': array([-3.91249894e+07, -3.95817790e+07,  8.40000000e+17]), 'std': array([8.99673500e+07, 9.08658492e+07, 3.66606056e+17]), 'min': array([-2.71444964e+08, -2.69324687e+08,  8.81058495e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 21: {'gen': 21, 'evals': 200, 'avg': array([-3.75029543e+07, -3.75272452e+07,  8.50000000e+17]), 'std': array([8.94176341e+07, 8.94782900e+07, 3.57071421e+17]), 'min': array([-2.67402900e+08, -2.70558234e+08,  8.94714400e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 22: {'gen': 22, 'evals': 200, 'avg': array([-2.66374535e+07, -2.78894475e+07,  8.90000000e+17]), 'std': array([7.58850528e+07, 7.94164440e+07, 3.12889757e+17]), 'min': array([-2.67253464e+08, -2.69499232e+08,  9.00793801e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 23: {'gen': 23, 'evals': 200, 'avg': array([-3.50346529e+07, -3.31845955e+07,  8.60000000e+17]), 'std': array([8.69804577e+07, 8.25983604e+07, 3.46987031e+17]), 'min': array([-2.67552828e+08, -2.68897136e+08,  9.00289667e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 24: {'gen': 24, 'evals': 200, 'avg': array([-4.02889536e+07, -3.92933733e+07,  8.40000000e+17]), 'std': array([9.24880400e+07, 9.01941278e+07, 3.66606056e+17]), 'min': array([-2.68929588e+08, -2.65510351e+08,  9.00782071e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 25: {'gen': 25, 'evals': 200, 'avg': array([-3.93554315e+07, -3.99013209e+07,  8.40000000e+17]), 'std': array([9.03145918e+07, 9.15049352e+07, 3.66606056e+17]), 'min': array([-2.68793297e+08, -2.72280097e+08,  8.28442818e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 26: {'gen': 26, 'evals': 200, 'avg': array([-4.85399118e+07, -4.94683480e+07,  8.00000000e+17]), 'std': array([9.74080822e+07, 9.91707535e+07, 4.00000000e+17]), 'min': array([-2.71681398e+08, -2.70592460e+08,  8.33734352e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
Generation 27: {'gen': 27, 'evals': 200, 'avg': array([-6.55519383e+07, -6.56896101e+07,  7.30000000e+17]), 'std': array([1.08143796e+08, 1.08311890e+08, 4.43959458e+17]), 'min': array([-2.70390287e+08, -2.70735006e+08,  8.98686459e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
