优化算法: 改进NSGA-III
种群大小: 100, 最大代数: 200
交叉概率: 0.9, 变异概率: 0.1, ALO概率: 0.3
使用OBL初始化: 是

=== 优化日志 ===
代数 19: {'gen': 19, 'evals': 220, 'avg': array([-6.12088602e+07, -6.23332239e+07,  7.50000000e+17]), 'std': array([1.06478689e+08, 1.08257515e+08, 4.33012702e+17]), 'min': array([-2.76774851e+08, -2.80921098e+08,  9.02902920e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 20: {'gen': 20, 'evals': 200, 'avg': array([-6.12093366e+07, -6.24744775e+07,  7.60000000e+17]), 'std': array([1.09208335e+08, 1.11363659e+08, 4.27083130e+17]), 'min': array([-2.77229293e+08, -2.82748162e+08,  9.02461383e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 21: {'gen': 21, 'evals': 200, 'avg': array([-8.84634144e+07, -8.72800762e+07,  6.50000000e+17]), 'std': array([1.21219831e+08, 1.19214358e+08, 4.76969601e+17]), 'min': array([-2.78320209e+08, -2.79739190e+08,  9.05244258e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 22: {'gen': 22, 'evals': 200, 'avg': array([-5.72261300e+07, -5.59266377e+07,  7.70000000e+17]), 'std': array([1.05172935e+08, 1.02764318e+08, 4.20832508e+17]), 'min': array([-2.80087394e+08, -2.81536722e+08,  9.05423422e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 23: {'gen': 23, 'evals': 220, 'avg': array([-3.92372088e+07, -3.90936212e+07,  8.50000000e+17]), 'std': array([9.35535538e+07, 9.32605344e+07, 3.57071421e+17]), 'min': array([-2.78401333e+08, -2.80193593e+08,  8.96989081e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 24: {'gen': 24, 'evals': 200, 'avg': array([-4.51070366e+07, -4.51980659e+07,  8.20000000e+17]), 'std': array([9.69753423e+07, 9.67704512e+07, 3.84187454e+17]), 'min': array([-2.75184184e+08, -2.76024016e+08,  9.05321517e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 25: {'gen': 25, 'evals': 220, 'avg': array([-5.35972820e+07, -5.36349677e+07,  7.90000000e+17]), 'std': array([1.04257492e+08, 1.04231477e+08, 4.07308237e+17]), 'min': array([-2.77352622e+08, -2.73545755e+08,  9.02467996e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 26: {'gen': 26, 'evals': 220, 'avg': array([-5.49411137e+07, -5.64890619e+07,  7.80000000e+17]), 'std': array([1.03962593e+08, 1.06494792e+08, 4.14246304e+17]), 'min': array([-2.77676467e+08, -2.78734315e+08,  9.03989525e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 27: {'gen': 27, 'evals': 200, 'avg': array([-6.6043527e+07, -6.5064361e+07,  7.4000000e+17]), 'std': array([1.11774108e+08, 1.10520158e+08, 4.38634244e+17]), 'min': array([-2.78415153e+08, -2.82736070e+08,  9.05263821e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 28: {'gen': 28, 'evals': 220, 'avg': array([-7.58354768e+07, -7.49516573e+07,  7.10000000e+17]), 'std': array([1.18813023e+08, 1.17603014e+08, 4.53762052e+17]), 'min': array([-2.79951571e+08, -2.76548154e+08,  9.05239241e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 29: {'gen': 29, 'evals': 220, 'avg': array([-8.82295956e+07, -8.72761634e+07,  6.60000000e+17]), 'std': array([1.23130705e+08, 1.22037705e+08, 4.73708771e+17]), 'min': array([-2.78831442e+08, -2.81947297e+08,  9.05237377e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 30: {'gen': 30, 'evals': 220, 'avg': array([-8.45339762e+07, -8.42405174e+07,  6.70000000e+17]), 'std': array([1.20790484e+08, 1.20281004e+08, 4.70212718e+17]), 'min': array([-2.79896435e+08, -2.75904829e+08,  9.05235612e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 31: {'gen': 31, 'evals': 200, 'avg': array([-5.91658867e+07, -5.85034189e+07,  7.70000000e+17]), 'std': array([1.08422881e+08, 1.07386175e+08, 4.20832508e+17]), 'min': array([-2.78270473e+08, -2.79651142e+08,  9.02200736e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 32: {'gen': 32, 'evals': 200, 'avg': array([-4.13570719e+07, -4.12949951e+07,  8.40000000e+17]), 'std': array([9.50295480e+07, 9.47514551e+07, 3.66606056e+17]), 'min': array([-2.77333377e+08, -2.72527700e+08,  9.03811563e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 33: {'gen': 33, 'evals': 200, 'avg': array([-2.89424866e+07, -2.74980901e+07,  8.90000000e+17]), 'std': array([8.24156014e+07, 7.84386795e+07, 3.12889757e+17]), 'min': array([-2.78055515e+08, -2.78287811e+08,  9.05248783e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 34: {'gen': 34, 'evals': 200, 'avg': array([-5.54597108e+07, -5.67765833e+07,  7.80000000e+17]), 'std': array([1.04756740e+08, 1.07181426e+08, 4.14246304e+17]), 'min': array([-2.75841552e+08, -2.80609141e+08,  9.05201819e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 35: {'gen': 35, 'evals': 200, 'avg': array([-3.48032170e+07, -3.36076191e+07,  8.70000000e+17]), 'std': array([9.01903709e+07, 8.71194153e+07, 3.36303434e+17]), 'min': array([-2.80137470e+08, -2.81645043e+08,  9.05217543e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 36: {'gen': 36, 'evals': 200, 'avg': array([-4.93696647e+07, -4.94704050e+07,  8.10000000e+17]), 'std': array([1.02089870e+08, 1.02486615e+08, 3.92300905e+17]), 'min': array([-2.77238037e+08, -2.81936444e+08,  9.05230371e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 37: {'gen': 37, 'evals': 200, 'avg': array([-7.99043382e+07, -7.84825971e+07,  6.90000000e+17]), 'std': array([1.19698919e+08, 1.18120767e+08, 4.62493243e+17]), 'min': array([-2.80037426e+08, -2.82497096e+08,  9.02297159e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 38: {'gen': 38, 'evals': 200, 'avg': array([-9.45980637e+07, -9.66032686e+07,  6.20000000e+17]), 'std': array([1.21493081e+08, 1.23805171e+08, 4.85386444e+17]), 'min': array([-2.79915245e+08, -2.77652315e+08,  9.03971471e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 39: {'gen': 39, 'evals': 200, 'avg': array([-3.80015444e+07, -3.77466603e+07,  8.50000000e+17]), 'std': array([9.08570315e+07, 9.01924935e+07, 3.57071421e+17]), 'min': array([-2.79983485e+08, -2.82290406e+08,  9.05351848e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 40: {'gen': 40, 'evals': 220, 'avg': array([-3.83297278e+07, -3.80564234e+07,  8.50000000e+17]), 'std': array([9.15656239e+07, 9.08865979e+07, 3.57071421e+17]), 'min': array([-2.77653054e+08, -2.80929578e+08,  9.05210196e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 41: {'gen': 41, 'evals': 200, 'avg': array([-4.06981316e+07, -3.93114089e+07,  8.40000000e+17]), 'std': array([9.34433696e+07, 9.05305957e+07, 3.66606056e+17]), 'min': array([-2.76221963e+08, -2.76300270e+08,  9.05514308e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 42: {'gen': 42, 'evals': 220, 'avg': array([-5.01462195e+07, -4.85383914e+07,  8.10000000e+17]), 'std': array([1.03649967e+08, 1.00403892e+08, 3.92300905e+17]), 'min': array([-2.78381411e+08, -2.80124288e+08,  9.05270680e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 43: {'gen': 43, 'evals': 200, 'avg': array([-2.23730128e+07, -2.20787340e+07,  9.10000000e+17]), 'std': array([7.12673810e+07, 7.03172718e+07, 2.86181760e+17]), 'min': array([-2.77134149e+08, -2.74785086e+08,  9.75014801e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
