优化算法: 改进NSGA-III
种群大小: 100, 最大代数: 200
交叉概率: 0.9, 变异概率: 0.1, ALO概率: 0.3
使用OBL初始化: 是

=== 优化日志 ===
代数 77: {'gen': 77, 'evals': 200, 'avg': array([-1.09891221e+07, -1.06527545e+07,  9.60000000e+17]), 'std': array([5.38648257e+07, 5.22256922e+07, 1.95959179e+17]), 'min': array([-2.82558973e+08, -2.79344922e+08,  9.03846933e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 78: {'gen': 78, 'evals': 200, 'avg': array([-1.33814524e+07, -1.29742887e+07,  9.50000000e+17]), 'std': array([5.83879871e+07, 5.68576170e+07, 2.17944947e+17]), 'min': array([-2.79205323e+08, -2.77864808e+08,  9.03506131e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 79: {'gen': 79, 'evals': 220, 'avg': array([-2.60642988e+07, -2.60811182e+07,  9.00000000e+17]), 'std': array([7.84621681e+07, 7.82897200e+07, 3.00000000e+17]), 'min': array([-2.80921669e+08, -2.74478900e+08,  9.02341773e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 80: {'gen': 80, 'evals': 200, 'avg': array([-2.09566843e+07, -2.13376610e+07,  9.20000000e+17]), 'std': array([7.11755013e+07, 7.23704410e+07, 2.71293199e+17]), 'min': array([-2.79534954e+08, -2.72329326e+08,  9.00774423e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 81: {'gen': 81, 'evals': 220, 'avg': array([-1.06163910e+07, -1.07513661e+07,  9.60000000e+17]), 'std': array([5.20370115e+07, 5.26928523e+07, 1.95959179e+17]), 'min': array([-2.79278716e+08, -2.81027788e+08,  9.05403575e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 82: {'gen': 82, 'evals': 220, 'avg': array([-2.12670151e+07, -1.90168152e+07,  9.20000000e+17]), 'std': array([7.22462368e+07, 6.51242947e+07, 2.71293199e+17]), 'min': array([-2.80592473e+08, -2.67503161e+08,  9.05458766e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 83: {'gen': 83, 'evals': 200, 'avg': array([-2.73867143e+07, -2.48867380e+07,  9.00000000e+17]), 'std': array([8.22104143e+07, 7.52428535e+07, 3.00000000e+17]), 'min': array([-2.80623476e+08, -2.74446017e+08,  9.03973050e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 84: {'gen': 84, 'evals': 220, 'avg': array([-1.06169627e+07, -1.05537446e+07,  9.60000000e+17]), 'std': array([5.22287302e+07, 5.17186828e+07, 1.95959179e+17]), 'min': array([-2.79950242e+08, -2.73818122e+08,  9.04592172e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 85: {'gen': 85, 'evals': 220, 'avg': array([-2.05254567e+07, -2.06291754e+07,  9.20000000e+17]), 'std': array([6.97465381e+07, 7.00795889e+07, 2.71293199e+17]), 'min': array([-2.73359868e+08, -2.78857473e+08,  9.04823307e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 86: {'gen': 86, 'evals': 220, 'avg': array([-2.05695551e+07, -2.08701590e+07,  9.20000000e+17]), 'std': array([6.99037705e+07, 7.08943377e+07, 2.71293199e+17]), 'min': array([-2.79675738e+08, -2.76281897e+08,  9.05369223e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 87: {'gen': 87, 'evals': 220, 'avg': array([-1.54730344e+07, -1.63446963e+07,  9.40000000e+17]), 'std': array([6.14588544e+07, 6.47038197e+07, 2.37486842e+17]), 'min': array([-2.78142495e+08, -2.78834857e+08,  9.04401177e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 88: {'gen': 88, 'evals': 200, 'avg': array([-2.55637612e+07, -2.55481237e+07,  9.00000000e+17]), 'std': array([7.70252624e+07, 7.68153297e+07, 3.00000000e+17]), 'min': array([-2.80480277e+08, -2.77990556e+08,  9.04591840e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 89: {'gen': 89, 'evals': 220, 'avg': array([-2.46363796e+07, -2.34412655e+07,  9.10000000e+17]), 'std': array([7.83681091e+07, 7.47160066e+07, 2.86181760e+17]), 'min': array([-2.81300327e+08, -2.81024775e+08,  9.03338377e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 90: {'gen': 90, 'evals': 200, 'avg': array([-2.16742837e+07, -2.11349980e+07,  9.20000000e+17]), 'std': array([7.35613400e+07, 7.16820365e+07, 2.71293199e+17]), 'min': array([-2.81160234e+08, -2.68052591e+08,  9.01963548e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 91: {'gen': 91, 'evals': 220, 'avg': array([-1.9238641e+07, -1.8263907e+07,  9.3000000e+17]), 'std': array([7.01365629e+07, 6.66907583e+07, 2.55147016e+17]), 'min': array([-2.80051751e+08, -2.79214413e+08,  9.01852805e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 92: {'gen': 92, 'evals': 200, 'avg': array([-1.93842731e+07, -1.79970703e+07,  9.30000000e+17]), 'std': array([7.06715478e+07, 6.58720259e+07, 2.55147016e+17]), 'min': array([-2.82011114e+08, -2.74059274e+08,  9.01933694e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 93: {'gen': 93, 'evals': 200, 'avg': array([-1.64048224e+07, -1.45234983e+07,  9.40000000e+17]), 'std': array([6.49524388e+07, 5.78507038e+07, 2.37486842e+17]), 'min': array([-2.81310819e+08, -2.78834830e+08,  9.00982492e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 94: {'gen': 94, 'evals': 200, 'avg': array([-2.95006853e+07, -2.80972618e+07,  8.90000000e+17]), 'std': array([8.40040117e+07, 8.01461971e+07, 3.12889757e+17]), 'min': array([-2.81800475e+08, -2.79975405e+08,  8.96663740e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 95: {'gen': 95, 'evals': 200, 'avg': array([-1.55787126e+07, -1.61569295e+07,  9.40000000e+17]), 'std': array([6.17260654e+07, 6.39570742e+07, 2.37486842e+17]), 'min': array([-2.82147332e+08, -2.72224971e+08,  8.96721185e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 96: {'gen': 96, 'evals': 200, 'avg': array([-2.88294500e+07, -2.89085844e+07,  8.90000000e+17]), 'std': array([8.20884475e+07, 8.22630229e+07, 3.12889757e+17]), 'min': array([-2.82170689e+08, -2.75818296e+08,  8.96734243e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 97: {'gen': 97, 'evals': 200, 'avg': array([-3.65859010e+07, -3.61567365e+07,  8.60000000e+17]), 'std': array([9.08494266e+07, 8.97551141e+07, 3.46987031e+17]), 'min': array([-2.82493063e+08, -2.77333253e+08,  8.97079358e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 98: {'gen': 98, 'evals': 200, 'avg': array([-3.74888220e+07, -3.64082122e+07,  8.60000000e+17]), 'std': array([9.31325316e+07, 9.05021870e+07, 3.46987031e+17]), 'min': array([-2.82928165e+08, -2.80086473e+08,  9.08171013e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 99: {'gen': 99, 'evals': 200, 'avg': array([-3.46292587e+07, -3.46296624e+07,  8.70000000e+17]), 'std': array([8.96559733e+07, 8.96054670e+07, 3.36303434e+17]), 'min': array([-2.82330632e+08, -2.75264237e+08,  9.09163089e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 100: {'gen': 100, 'evals': 220, 'avg': array([-5.46686094e+07, -5.49153246e+07,  7.90000000e+17]), 'std': array([1.06126827e+08, 1.06699496e+08, 4.07308237e+17]), 'min': array([-2.81462746e+08, -2.77733317e+08,  9.08588466e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 101: {'gen': 101, 'evals': 200, 'avg': array([-1.64125545e+07, -1.54732596e+07,  9.40000000e+17]), 'std': array([6.51365329e+07, 6.13497904e+07, 2.37486842e+17]), 'min': array([-2.83463008e+08, -2.77054058e+08,  9.11942303e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 102: {'gen': 102, 'evals': 200, 'avg': array([-1.30481602e+07, -1.26180921e+07,  9.50000000e+17]), 'std': array([5.73677150e+07, 5.51306319e+07, 2.17944947e+17]), 'min': array([-2.81553620e+08, -2.77652012e+08,  9.12798500e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 103: {'gen': 103, 'evals': 200, 'avg': array([-2.76310260e+06, -2.66311431e+06,  9.90000000e+17]), 'std': array([2.74925237e+07, 2.64976528e+07, 9.94987437e+16]), 'min': array([-2.76310260e+08, -2.66311431e+08,  9.17781107e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 104: {'gen': 104, 'evals': 220, 'avg': array([-1.07523999e+07, -1.08436816e+07,  9.60000000e+17]), 'std': array([5.27079441e+07, 5.31315509e+07, 1.95959179e+17]), 'min': array([-2.78027397e+08, -2.76734398e+08,  9.18374213e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 105: {'gen': 105, 'evals': 200, 'avg': array([-7.63490986e+06, -7.80874369e+06,  9.70000000e+17]), 'std': array([4.34813187e+07, 4.44121286e+07, 1.70587221e+17]), 'min': array([-2.67582357e+08, -2.64689549e+08,  9.14934085e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 106: {'gen': 106, 'evals': 200, 'avg': array([-1.18866555e+07, -1.25624472e+07,  9.50000000e+17]), 'std': array([5.27794625e+07, 5.49400327e+07, 2.17944947e+17]), 'min': array([-2.69312358e+08, -2.73078778e+08,  9.14987753e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 107: {'gen': 107, 'evals': 220, 'avg': array([-3.35137463e+07, -3.37222550e+07,  8.70000000e+17]), 'std': array([8.72429743e+07, 8.75024556e+07, 3.36303434e+17]), 'min': array([-2.82206409e+08, -2.83310394e+08,  9.18077732e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 108: {'gen': 108, 'evals': 200, 'avg': array([-1.77582775e+07, -1.92716059e+07,  9.30000000e+17]), 'std': array([6.50401504e+07, 7.02539302e+07, 2.55147016e+17]), 'min': array([-2.79814475e+08, -2.81017223e+08,  9.18202378e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 109: {'gen': 109, 'evals': 200, 'avg': array([-1.81642775e+07, -1.85560517e+07,  9.30000000e+17]), 'std': array([6.64123304e+07, 6.77057961e+07, 2.55147016e+17]), 'min': array([-2.80510586e+08, -2.82268870e+08,  9.20227936e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 110: {'gen': 110, 'evals': 220, 'avg': array([-8.29738701e+06, -8.29764474e+06,  9.70000000e+17]), 'std': array([4.71812134e+07, 4.71934422e+07, 1.70587221e+17]), 'min': array([-2.77888091e+08, -2.83844295e+08,  9.20844056e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 111: {'gen': 111, 'evals': 200, 'avg': array([-3.13669627e+07, -3.10233473e+07,  8.80000000e+17]), 'std': array([8.52285376e+07, 8.42207660e+07, 3.24961536e+17]), 'min': array([-2.83731463e+08, -2.83368880e+08,  9.20215242e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 112: {'gen': 112, 'evals': 200, 'avg': array([-4.11223204e+07, -4.22855998e+07,  8.40000000e+17]), 'std': array([9.46177454e+07, 9.70357098e+07, 3.66606056e+17]), 'min': array([-2.79975848e+08, -2.81844119e+08,  9.19018565e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 113: {'gen': 113, 'evals': 200, 'avg': array([-2.6958646e+07, -2.7145382e+07,  9.0000000e+17]), 'std': array([8.10146927e+07, 8.15182213e+07, 3.00000000e+17]), 'min': array([-2.80204705e+08, -2.81866299e+08,  9.19968475e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 114: {'gen': 114, 'evals': 200, 'avg': array([-2.16730067e+07, -2.15252341e+07,  9.20000000e+17]), 'std': array([7.36186831e+07, 7.31578201e+07, 2.71293199e+17]), 'min': array([-2.83307709e+08, -2.83918982e+08,  9.20860348e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 115: {'gen': 115, 'evals': 200, 'avg': array([-2.43212920e+07, -2.44440765e+07,  9.10000000e+17]), 'std': array([7.74382845e+07, 7.77680944e+07, 2.86181760e+17]), 'min': array([-2.83978884e+08, -2.83588627e+08,  9.20862555e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 116: {'gen': 116, 'evals': 200, 'avg': array([-1.64555583e+07, -1.62099149e+07,  9.40000000e+17]), 'std': array([6.51555526e+07, 6.41832616e+07, 2.37486842e+17]), 'min': array([-2.83021645e+08, -2.78363199e+08,  9.20896232e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 117: {'gen': 117, 'evals': 200, 'avg': array([-1.62321493e+07, -1.59548624e+07,  9.40000000e+17]), 'std': array([6.42854135e+07, 6.31673994e+07, 2.37486842e+17]), 'min': array([-2.82097301e+08, -2.77380777e+08,  9.27438136e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 118: {'gen': 118, 'evals': 200, 'avg': array([-8.20313094e+06, -8.31895814e+06,  9.70000000e+17]), 'std': array([4.66668848e+07, 4.73116541e+07, 1.70587221e+17]), 'min': array([-2.81694518e+08, -2.84426378e+08,  9.29178042e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 119: {'gen': 119, 'evals': 220, 'avg': array([-8.10589430e+06, -7.96100594e+06,  9.70000000e+17]), 'std': array([4.61393407e+07, 4.52871424e+07, 1.70587221e+17]), 'min': array([-2.80294807e+08, -2.76000532e+08,  9.29184526e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 120: {'gen': 120, 'evals': 220, 'avg': array([-2.08227064e+07, -2.13378655e+07,  9.20000000e+17]), 'std': array([7.08619239e+07, 7.24246482e+07, 2.71293199e+17]), 'min': array([-2.75777963e+08, -2.81121774e+08,  9.29092807e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 121: {'gen': 121, 'evals': 200, 'avg': array([-2.76186978e+07, -2.50317353e+07,  9.00000000e+17]), 'std': array([8.28645438e+07, 7.57124684e+07, 3.00000000e+17]), 'min': array([-2.83268089e+08, -2.77886986e+08,  9.26421891e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 122: {'gen': 122, 'evals': 200, 'avg': array([-1.11421664e+07, -1.04806157e+07,  9.60000000e+17]), 'std': array([5.45958651e+07, 5.13818048e+07, 1.95959179e+17]), 'min': array([-2.83757432e+08, -2.76214733e+08,  9.25500458e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 123: {'gen': 123, 'evals': 200, 'avg': array([-1.02557227e+07, -1.05425479e+07,  9.60000000e+17]), 'std': array([5.04418167e+07, 5.16515339e+07, 1.95959179e+17]), 'min': array([-2.83511110e+08, -2.66294324e+08,  9.25500837e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 124: {'gen': 124, 'evals': 200, 'avg': array([-1.56175292e+07, -1.52940691e+07,  9.40000000e+17]), 'std': array([6.20949141e+07, 6.05545152e+07, 2.37486842e+17]), 'min': array([-2.84086257e+08, -2.61798608e+08,  9.24799418e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 125: {'gen': 125, 'evals': 200, 'avg': array([-8.01095706e+06, -8.03639723e+06,  9.70000000e+17]), 'std': array([4.56116404e+07, 4.57113119e+07, 1.70587221e+17]), 'min': array([-2.84641135e+08, -2.73479534e+08,  9.29660631e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 126: {'gen': 126, 'evals': 200, 'avg': array([-1.32893985e+07, -1.28706231e+07,  9.50000000e+17]), 'std': array([5.80303093e+07, 5.61102243e+07, 2.17944947e+17]), 'min': array([-2.81388938e+08, -2.61508038e+08,  9.29691730e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 127: {'gen': 127, 'evals': 200, 'avg': array([-1.61124476e+07, -1.53685099e+07,  9.40000000e+17]), 'std': array([6.38364286e+07, 6.09652793e+07, 2.37486842e+17]), 'min': array([-2.84506392e+08, -2.84486145e+08,  9.29801099e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 128: {'gen': 128, 'evals': 200, 'avg': array([-2.45984686e+07, -2.26049168e+07,  9.10000000e+17]), 'std': array([7.82789680e+07, 7.21513989e+07, 2.86181760e+17]), 'min': array([-2.83703480e+08, -2.76737005e+08,  9.31932174e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 129: {'gen': 129, 'evals': 200, 'avg': array([-1.85203452e+07, -1.84746523e+07,  9.30000000e+17]), 'std': array([6.75521910e+07, 6.74307053e+07, 2.55147016e+17]), 'min': array([-2.74055541e+08, -2.76432858e+08,  9.31933316e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 130: {'gen': 130, 'evals': 220, 'avg': array([-3.38683876e+07, -3.41773729e+07,  8.70000000e+17]), 'std': array([8.80385767e+07, 8.85108023e+07, 3.36303434e+17]), 'min': array([-2.84583515e+08, -2.71551856e+08,  9.31938757e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 131: {'gen': 131, 'evals': 200, 'avg': array([-3.37646708e+07, -3.37120506e+07,  8.70000000e+17]), 'std': array([8.77530116e+07, 8.74537588e+07, 3.36303434e+17]), 'min': array([-2.84589880e+08, -2.79739282e+08,  9.31962982e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 132: {'gen': 132, 'evals': 200, 'avg': array([-2.53080276e+07, -2.32625508e+07,  9.10000000e+17]), 'std': array([8.04809321e+07, 7.41312581e+07, 2.86181760e+17]), 'min': array([-2.84504607e+08, -2.81019556e+08,  9.31965517e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 133: {'gen': 133, 'evals': 200, 'avg': array([-2.22802466e+07, -2.06671956e+07,  9.20000000e+17]), 'std': array([7.56173027e+07, 7.02146026e+07, 2.71293199e+17]), 'min': array([-2.84622706e+08, -2.76871912e+08,  9.31974324e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 134: {'gen': 134, 'evals': 200, 'avg': array([-1.57192392e+07, -1.49841711e+07,  9.40000000e+17]), 'std': array([6.23978356e+07, 5.94073405e+07, 2.37486842e+17]), 'min': array([-2.84321687e+08, -2.64826375e+08,  9.40208595e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 135: {'gen': 135, 'evals': 200, 'avg': array([-1.41302720e+07, -1.24178064e+07,  9.50000000e+17]), 'std': array([6.15961258e+07, 5.41917028e+07, 2.17944947e+17]), 'min': array([-2.84639609e+08, -2.65404404e+08,  9.40219073e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 136: {'gen': 136, 'evals': 220, 'avg': array([-1.69755131e+07, -1.47473637e+07,  9.40000000e+17]), 'std': array([6.71939217e+07, 5.84154466e+07, 2.37486842e+17]), 'min': array([-2.84624612e+08, -2.61109849e+08,  9.40307246e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 137: {'gen': 137, 'evals': 220, 'avg': array([-2.73388468e+07, -2.51233893e+07,  9.00000000e+17]), 'std': array([8.21457062e+07, 7.55473559e+07, 3.00000000e+17]), 'min': array([-2.84559333e+08, -2.76801037e+08,  9.41375000e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 138: {'gen': 138, 'evals': 200, 'avg': array([-2.20449264e+07, -2.03693222e+07,  9.20000000e+17]), 'std': array([7.48764004e+07, 6.92146985e+07, 2.71293199e+17]), 'min': array([-2.84747804e+08, -2.73513053e+08,  9.41378708e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 139: {'gen': 139, 'evals': 220, 'avg': array([-3.28485894e+07, -3.03002000e+07,  8.80000000e+17]), 'std': array([8.91154904e+07, 8.21821471e+07, 3.24961536e+17]), 'min': array([-2.84631167e+08, -2.76215311e+08,  9.38862787e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 140: {'gen': 140, 'evals': 200, 'avg': array([-2.17194396e+07, -2.06796855e+07,  9.20000000e+17]), 'std': array([7.37294906e+07, 7.02227847e+07, 2.71293199e+17]), 'min': array([-2.84512196e+08, -2.74683014e+08,  9.36531087e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 141: {'gen': 141, 'evals': 220, 'avg': array([-2.69022455e+07, -2.64130688e+07,  9.00000000e+17]), 'std': array([8.07920179e+07, 7.92912965e+07, 3.00000000e+17]), 'min': array([-2.84987494e+08, -2.74673679e+08,  9.37318763e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 142: {'gen': 142, 'evals': 200, 'avg': array([-3.08679282e+07, -3.07484201e+07,  8.80000000e+17]), 'std': array([8.40530405e+07, 8.39476473e+07, 3.24961536e+17]), 'min': array([-2.84970383e+08, -2.83537718e+08,  9.37321681e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 143: {'gen': 143, 'evals': 200, 'avg': array([-4.03976462e+07, -4.19413892e+07,  8.40000000e+17]), 'std': array([9.31796006e+07, 9.63100224e+07, 3.66606056e+17]), 'min': array([-2.85028523e+08, -2.83393649e+08,  9.40984768e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 144: {'gen': 144, 'evals': 220, 'avg': array([-2.76964004e+07, -2.95377051e+07,  8.90000000e+17]), 'std': array([7.93741491e+07, 8.41317299e+07, 3.12889757e+17]), 'min': array([-2.85014602e+08, -2.83494231e+08,  9.41029385e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 145: {'gen': 145, 'evals': 200, 'avg': array([-2.29463166e+07, -2.31607848e+07,  9.10000000e+17]), 'std': array([7.34327419e+07, 7.39347437e+07, 2.86181760e+17]), 'min': array([-2.84548939e+08, -2.80433089e+08,  9.41034330e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 146: {'gen': 146, 'evals': 200, 'avg': array([-3.11349066e+07, -3.17576799e+07,  8.80000000e+17]), 'std': array([8.46487675e+07, 8.60556223e+07, 3.24961536e+17]), 'min': array([-2.84961467e+08, -2.76730765e+08,  9.45087300e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 147: {'gen': 147, 'evals': 220, 'avg': array([-8.26194288e+06, -8.02276567e+06,  9.70000000e+17]), 'std': array([4.69945018e+07, 4.56590380e+07, 1.70587221e+17]), 'min': array([-2.84816647e+08, -2.80599887e+08,  9.46562875e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 148: {'gen': 148, 'evals': 200, 'avg': array([-1.66850165e+07, -1.44692695e+07,  9.40000000e+17]), 'std': array([6.60648820e+07, 5.78125796e+07, 2.37486842e+17]), 'min': array([-2.84815738e+08, -2.79061757e+08,  9.46572697e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 149: {'gen': 149, 'evals': 200, 'avg': array([-1.59533434e+07, -1.58964901e+07,  9.40000000e+17]), 'std': array([6.31794632e+07, 6.29695319e+07, 2.37486842e+17]), 'min': array([-2.76300064e+08, -2.75733690e+08,  9.46590750e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 150: {'gen': 150, 'evals': 200, 'avg': array([-3.48893741e+07, -3.36598866e+07,  8.70000000e+17]), 'std': array([9.05989162e+07, 8.71827274e+07, 3.36303434e+17]), 'min': array([-2.84770713e+08, -2.77495669e+08,  9.44590971e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 151: {'gen': 151, 'evals': 200, 'avg': array([-1.87751436e+07, -1.66951395e+07,  9.30000000e+17]), 'std': array([6.86962037e+07, 6.15793592e+07, 2.55147016e+17]), 'min': array([-2.84967523e+08, -2.83137554e+08,  9.47554514e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 152: {'gen': 152, 'evals': 200, 'avg': array([-1.39314594e+07, -1.27261877e+07,  9.50000000e+17]), 'std': array([6.07458124e+07, 5.56372876e+07, 2.17944947e+17]), 'min': array([-2.85035818e+08, -2.75270547e+08,  9.47555808e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 153: {'gen': 153, 'evals': 200, 'avg': array([-1.66687134e+07, -1.54405680e+07,  9.40000000e+17]), 'std': array([6.60013811e+07, 6.11982918e+07, 2.37486842e+17]), 'min': array([-2.85098496e+08, -2.71588706e+08,  9.46310944e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 154: {'gen': 154, 'evals': 200, 'avg': array([-2.48801322e+07, -2.20808153e+07,  9.10000000e+17]), 'std': array([7.91936634e+07, 7.06743701e+07, 2.86181760e+17]), 'min': array([-2.84923454e+08, -2.77179717e+08,  9.44420974e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 155: {'gen': 155, 'evals': 200, 'avg': array([-2.15389896e+07, -2.05829648e+07,  9.20000000e+17]), 'std': array([7.32594194e+07, 6.98953919e+07, 2.71293199e+17]), 'min': array([-2.85002682e+08, -2.80068265e+08,  9.44936793e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 156: {'gen': 156, 'evals': 200, 'avg': array([-1.59209119e+07, -1.56488355e+07,  9.40000000e+17]), 'std': array([6.31418532e+07, 6.22116786e+07, 2.37486842e+17]), 'min': array([-2.84631845e+08, -2.80577096e+08,  9.44937896e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 157: {'gen': 157, 'evals': 220, 'avg': array([-3.85448031e+07, -3.82061726e+07,  8.50000000e+17]), 'std': array([9.22522820e+07, 9.12291904e+07, 3.57071421e+17]), 'min': array([-2.85037182e+08, -2.78083144e+08,  9.47845816e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 158: {'gen': 158, 'evals': 220, 'avg': array([-3.43860389e+07, -3.34686995e+07,  8.70000000e+17]), 'std': array([8.93212839e+07, 8.69422435e+07, 3.36303434e+17]), 'min': array([-2.84705465e+08, -2.78396630e+08,  9.47848258e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 159: {'gen': 159, 'evals': 200, 'avg': array([-2.51060075e+07, -2.10590982e+07,  9.10000000e+17]), 'std': array([7.98597789e+07, 6.74532931e+07, 2.86181760e+17]), 'min': array([-2.84807369e+08, -2.67880147e+08,  9.48932591e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 160: {'gen': 160, 'evals': 200, 'avg': array([-2.9106949e+07, -2.8000638e+07,  8.9000000e+17]), 'std': array([8.33875789e+07, 7.96711980e+07, 3.12889757e+17]), 'min': array([-2.84914568e+08, -2.63284971e+08,  9.49376779e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 161: {'gen': 161, 'evals': 200, 'avg': array([-2.66326346e+07, -2.58932805e+07,  9.00000000e+17]), 'std': array([8.02879722e+07, 7.77162063e+07, 3.00000000e+17]), 'min': array([-2.84933276e+08, -2.70156723e+08,  9.49173060e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
代数 162: {'gen': 162, 'evals': 200, 'avg': array([-3.74207332e+07, -3.55980142e+07,  8.60000000e+17]), 'std': array([9.29637475e+07, 8.85354344e+07, 3.46987031e+17]), 'min': array([-2.84869045e+08, -2.78572652e+08,  9.48935052e+03]), 'max': array([0.e+00, 0.e+00, 1.e+18])}
